accession	action	sdrf_path	title	evidence_terms	pride_queries	organisms	organism_parts	diseases	instruments	experiment_types	quantification_methods	file_count	draft_row_count	pride_pubmed_ids	pride_dois	europepmc_hit_count	europepmc_first_pmid	europepmc_first_doi	europepmc_first_title	pride_url
PXD048162	sandbox_draft	sandbox/PXD048162/PXD048162.sdrf.tsv	Enhanced feature matching in single-cell proteomics characterizes response to IFN- and reveals co-existence of different cell states-Bulk Proteomics experiment	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Epithelial cell	Osteosarcoma	Orbitrap Fusion	Bottom-up proteomics; Data-dependent acquisition	MS1 intensity based label-free quantification method	19	15			1	39327420	10.1038/s41467-024-52605-x	Enhanced feature matching in single-cell proteomics characterizes IFN- response and co-existence of cell states.	https://www.ebi.ac.uk/pride/archive/projects/PXD048162
PXD048179	sandbox_draft	sandbox/PXD048179/PXD048179.sdrf.tsv	Enhanced feature matching in single-cell proteomics characterizes response to IFN- and reveals co-existence of different cell states-single cell Proteomics experiment	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Epithelial cell	Osteosarcoma	timsTOF Pro	Data-independent acquisition; Bottom-up proteomics	Label free	161	159			0				https://www.ebi.ac.uk/pride/archive/projects/PXD048179
PXD048347	sandbox_draft	sandbox/PXD048347/PXD048347.sdrf.tsv	Deciphering lineage specification during early embryogenesis using multi-layered proteomics	single-cell proteomics;cellenONE;ProteoCHIP	single cell proteomics;single-cell proteomic;single-cell proteomics	Mus musculus (mouse)			Orbitrap Eclipse	Bottom-up proteomics	TMT	30	28		10.1016/J.STEM.2024.04.017	0				https://www.ebi.ac.uk/pride/archive/projects/PXD048347
PXD048565	sandbox_draft	sandbox/PXD048565/PXD048565.sdrf.tsv	Open-Tubular Trap Columns: Towards Simple and Robust Liquid Chromatography Separations for Single-Cell Proteomics	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)			Orbitrap Exploris 480	Bottom-up proteomics		72	58		10.1039/D3MO00249G	1	38353725	10.1039/d3mo00249g	Open-tubular trap columns: towards simple and robust liquid chromatography separations for single-cell proteomics.	https://www.ebi.ac.uk/pride/archive/projects/PXD048565
PXD048926	sandbox_draft	sandbox/PXD048926/PXD048926.sdrf.tsv	Increasing Proteome Coverage Through a Reduction in Analyte Complexity and Its Applications for Single-Cell Proteomics	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Epithelial cell; Uterine cervix; Cell culture		Orbitrap Exploris 480	Shotgun proteomics; Bottom-up proteomics		187	144		10.1021/ACS.JPROTEOME.4C00062	1	38832920	10.1021/acs.jproteome.4c00062	Increasing Proteome Coverage Through a Reduction in Analyte Complexity in Single-Cell Equivalent Samples.	https://www.ebi.ac.uk/pride/archive/projects/PXD048926
PXD049181	sandbox_draft	sandbox/PXD049181/PXD049181.sdrf.tsv	Deep single-cell proteomics quantifies low-abundant embryonic transcription factors and lineage markers during induced pluripotent stem cell differentiation	single-cell proteomics;cellenONE;ProteoCHIP	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Cell culture		Orbitrap Astral	Data-independent acquisition		115	111			1	39820750	10.1038/s41592-024-02558-2	Enhanced sensitivity and scalability with a Chip-Tip workflow enables deep single-cell proteomics.	https://www.ebi.ac.uk/pride/archive/projects/PXD049181
PXD049211	sandbox_draft	sandbox/PXD049211/PXD049211.sdrf.tsv	Deep single-cell proteomics quantifies low-abundant embryonic transcription factors and lineage markers during induced pluripotent stem cell differentiation	single-cell proteomics;cellenONE;ProteoCHIP	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Cell culture		Orbitrap Astral	Data-independent acquisition		205	188			1	39820750	10.1038/s41592-024-02558-2	Enhanced sensitivity and scalability with a Chip-Tip workflow enables deep single-cell proteomics.	https://www.ebi.ac.uk/pride/archive/projects/PXD049211
PXD049248	sandbox_draft	sandbox/PXD049248/PXD049248.sdrf.tsv	Multicolumn Nanoflow Liquid Chromatography System with Accelerated Offline Gradient Generation for Robust and Sensitive Single-Cell Proteome Profiling	single-cell proteomics;single-cell proteome;cellenONE	single cell proteome;single cell proteomics;single-cell proteome;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Epithelial cell	Cervix carcinoma	Orbitrap Exploris 480	Bottom-up proteomics	TIC	21	15	38915247	10.1021/acs.analchem.4c00878	1	38915247	10.1021/acs.analchem.4c00878	Multicolumn Nanoflow Liquid Chromatography with Accelerated Offline Gradient Generation for Robust and Sensitive Single-Cell Proteome Profiling.	https://www.ebi.ac.uk/pride/archive/projects/PXD049248
PXD049412	sandbox_draft	sandbox/PXD049412/PXD049412.sdrf.tsv	Challenging the Astral mass analyzer  up to 5300 proteins per single-cell at unseen quantitative accuracy to study cellular heterogeneity.	single-cell proteomics;cellenONE	single cell proteomics;single-cell proteomic;single-cell proteomics	Saccharomyces cerevisiae (baker's yeast); Homo sapiens (human)	Epithelial cell; Stem cell	Lung cancer	Orbitrap Astral; Orbitrap Exploris 480	Data-independent acquisition; Bottom-up proteomics	MS1 intensity based label-free quantification method	635	357		10.1038/S41592-024-02559-1	2	39820751	10.1038/s41592-024-02559-1	Challenging the Astral mass analyzer to quantify up to 5,300 proteins per single cell at unseen accuracy to uncover cellular heterogeneity.	https://www.ebi.ac.uk/pride/archive/projects/PXD049412
PXD051795	sandbox_draft	sandbox/PXD051795/PXD051795.sdrf.tsv	Single-cell-type Spatial Proteomics Unveils Precision Medicine Insights in Composite Small Lymphocytic and Classical Hodgkin Lymphoma	single-cell proteomics;deep visual proteomics	Deep Visual Proteomics;single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Lymph node; B cell	Lymphoma	timsTOF Pro	Data-independent acquisition; Data-dependent acquisition	Label free	5	1			0				https://www.ebi.ac.uk/pride/archive/projects/PXD051795
PXD051942	sandbox_draft	sandbox/PXD051942/PXD051942.sdrf.tsv	Global analysis of protein turnover dynamics in single cells	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Cell culture		Orbitrap Astral	Bottom-up proteomics		1393	1376			0				https://www.ebi.ac.uk/pride/archive/projects/PXD051942
PXD052341	sandbox_draft	sandbox/PXD052341/PXD052341.sdrf.tsv	Deep Visual Proteomics advances human colon organoid  models by revealing a switch to an in vivo-like phenotype upon xenotransplantation	deep visual proteomics	Deep Visual Proteomics	Homo sapiens (human)	Epithelial cell; Colon		Orbitrap Astral	Data-independent acquisition; Bottom-up proteomics	Label free	11	5			0				https://www.ebi.ac.uk/pride/archive/projects/PXD052341
PXD052416	sandbox_draft	sandbox/PXD052416/PXD052416.sdrf.tsv	Chromatography without a Binary Pump: Smoothed Step Gradients Enable Reproducible, Sensitive, and Low-Cost Nanoflow Separations	single-cell proteomics;single-cell proteome	single cell proteome;single cell proteomics;single-cell proteome;single-cell proteomic;single-cell proteomics	Homo sapiens (human)			timsTOF Ultra	Bottom-up proteomics		153	1	39536954	10.1016/j.mcpro.2024.100880	1	39536954	10.1016/j.mcpro.2024.100880	Gradient-Elution Nanoflow Liquid Chromatography Without a Binary Pump: Smoothed Step Gradients Enable Reproducible, Sensitive, and Low-Cost Separations for Single-Cell Proteomics.	https://www.ebi.ac.uk/pride/archive/projects/PXD052416
