source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_45	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_45	1	44	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_45	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_45.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_45.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_16Th24ms_10	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_16Th24ms_10	1	45	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_16Th24ms_10	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_16Th24ms_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_16Th24ms_10.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_40	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_40	1	46	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_40	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_40.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_40.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_8Th12ms_04	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	pooled	cellenONE	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_8Th12ms_04	40	47	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_8Th12ms_04	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_8Th12ms_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_8Th12ms_04.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_20Cells_40SPD_8Th12ms_01	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	pooled	cellenONE	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_20Cells_40SPD_8Th12ms_01	20	48	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_20Cells_40SPD_8Th12ms_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_20Cells_40SPD_8Th12ms_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_20Cells_40SPD_8Th12ms_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_29	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_29	1	49	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_29	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_29.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_12	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_12	1	50	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_12	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_12.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_8Th12ms_19	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_8Th12ms_19	1	51	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_8Th12ms_19	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_8Th12ms_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_8Th12ms_19.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_16Th24ms_04	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_16Th24ms_04	1	52	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_16Th24ms_04	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_16Th24ms_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_16Th24ms_04.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_20Cells_40SPD_2Th3ms_03	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	pooled	cellenONE	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_20Cells_40SPD_2Th3ms_03	20	53	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_20Cells_40SPD_2Th3ms_03	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_20Cells_40SPD_2Th3ms_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_20Cells_40SPD_2Th3ms_03.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_2Th3ms_01	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	pooled	cellenONE	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_2Th3ms_01	40	54	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_2Th3ms_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_2Th3ms_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_2Th3ms_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_15	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_15	1	55	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_15	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_15.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_04	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_04	1	56	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_04	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_04.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_8Th12ms_11	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_8Th12ms_11	1	57	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_8Th12ms_11	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_8Th12ms_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_8Th12ms_11.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_26	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_26	1	58	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_26	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_26.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_26.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_20Cells_40SPD_4Th6ms_01	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	pooled	cellenONE	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_20Cells_40SPD_4Th6ms_01	20	59	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_20Cells_40SPD_4Th6ms_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_20Cells_40SPD_4Th6ms_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_20Cells_40SPD_4Th6ms_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_37	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_37	1	60	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_37	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_37.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_37.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_27	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_27	1	61	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_27	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_27.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_27.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
