source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
1cell191201_1	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	microfluidics	1cell191201_1	1	1	1cell191201_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	1cell191201_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019958/1cell191201_1.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
0cell191115_2	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	microfluidics	0cell191115_2	0	2	0cell191115_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	0cell191115_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019958/0cell191115_2.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
1cell191201_2	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	microfluidics	1cell191201_2	1	3	1cell191201_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	1cell191201_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019958/1cell191201_2.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
5cell191115_1	Homo sapiens	Cell culture	not available	Cell culture	cell	pooled	microfluidics	5cell191115_1	5	4	5cell191115_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	5cell191115_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019958/5cell191115_1.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
5cell191115_3	Homo sapiens	Cell culture	not available	Cell culture	cell	pooled	microfluidics	5cell191115_3	5	5	5cell191115_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	5cell191115_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019958/5cell191115_3.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
0cell191115_3	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	microfluidics	0cell191115_3	0	6	0cell191115_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	0cell191115_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019958/0cell191115_3.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
0cell191115_5	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	microfluidics	0cell191115_5	0	7	0cell191115_5	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	0cell191115_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019958/0cell191115_5.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
1cell191201_3	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	microfluidics	1cell191201_3	1	8	1cell191201_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	1cell191201_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019958/1cell191201_3.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
5cell191115_2	Homo sapiens	Cell culture	not available	Cell culture	cell	pooled	microfluidics	5cell191115_2	5	9	5cell191115_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	5cell191115_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019958/5cell191115_2.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
