source name	assay name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biorepository]	characteristics[age]	characteristics[sex]	characteristics[compound]	characteristics[compound]	characteristics[exposure duration]	technology type	comment[fraction identifier]	comment[technical replicate]	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]
PXD063467_31_Dapa_high1	31_AC16_DDA_GC3_1_4087	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	dapagliflozin	10 uM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	31_AC16_DDA_GC3_1_4087.d.zip	v1.1.0	manual curation
PXD063467_32_Dapa_high2	32_AC16_DDA_GC4_1_4088	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	dapagliflozin	10 uM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	32_AC16_DDA_GC4_1_4088.d.zip	v1.1.0	manual curation
PXD063467_33_Dapa_high3	33_AC16_DDA_GC5_1_4089	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	dapagliflozin	10 uM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	33_AC16_DDA_GC5_1_4089.d.zip	v1.1.0	manual curation
PXD063467_34_Dapa_high4	34_AC16_DDA_GC6_1_4090	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	dapagliflozin	10 uM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	34_AC16_DDA_GC6_1_4090.d.zip	v1.1.0	manual curation
PXD063467_35_Dapa_high5	35_AC16_DDA_GC7_1_4091	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	dapagliflozin	10 uM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	35_AC16_DDA_GC7_1_4091.d.zip	v1.1.0	manual curation
PXD063467_36_Dapa_high6	36_AC16_DDA_GC8_1_4092	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	dapagliflozin	10 uM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	36_AC16_DDA_GC8_1_4092.d.zip	v1.1.0	manual curation
PXD063467_37_Empa_low1	37_AC16_DDA_GD1_1_4099	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	empagliflozin	10 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	37_AC16_DDA_GD1_1_4099.d.zip	v1.1.0	manual curation
PXD063467_38_Empa_low2	38_AC16_DDA_GD2_1_4100	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	empagliflozin	10 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	38_AC16_DDA_GD2_1_4100.d.zip	v1.1.0	manual curation
PXD063467_39_Empa_low3	39_AC16_DDA_GD3_1_4101	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	empagliflozin	10 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	39_AC16_DDA_GD3_1_4101.d.zip	v1.1.0	manual curation
PXD063467_40_Empa_low4	40_AC16_DDA_GD4_1_4102	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	empagliflozin	10 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	40_AC16_DDA_GD4_1_4102.d.zip	v1.1.0	manual curation
PXD063467_41_Empa_low5	41_AC16_DDA_GD5_1_4103	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	empagliflozin	10 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	41_AC16_DDA_GD5_1_4103.d.zip	v1.1.0	manual curation
PXD063467_42_Empa_low6	42_AC16_DDA_GD6_1_4104	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	empagliflozin	10 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	42_AC16_DDA_GD6_1_4104.d.zip	v1.1.0	manual curation
PXD063467_43_Empa_high1	43_AC16_DDA_GD7_1_4105	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	empagliflozin	10 uM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	43_AC16_DDA_GD7_1_4105.d.zip	v1.1.0	manual curation
PXD063467_44_Empa_high2	44_AC16_DDA_GD8_1_4106	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	empagliflozin	10 uM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	44_AC16_DDA_GD8_1_4106.d.zip	v1.1.0	manual curation
PXD063467_45_Empa_high3	45_AC16_DDA_GE1_1_4107	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	empagliflozin	10 uM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	45_AC16_DDA_GE1_1_4107.d.zip	v1.1.0	manual curation
PXD063467_46_Empa_high4	46_AC16_DDA_GE2_1_4108	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	empagliflozin	10 uM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	46_AC16_DDA_GE2_1_4108.d.zip	v1.1.0	manual curation
PXD063467_47_Empa_high5	47_AC16_DDA_GE3_1_4109	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	empagliflozin	10 uM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	47_AC16_DDA_GE3_1_4109.d.zip	v1.1.0	manual curation
PXD063467_48_Empa_high6	48_AC16_DDA_BA6_1_4115	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	empagliflozin	10 uM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	48_AC16_DDA_BA6_1_4115.d.zip	v1.1.0	manual curation
PXD063467_HCM1_Control1	HCM1_DDA_GC1_1_4260	Homo sapiens	heart	normal	HCM	not available	not available	PromoCell	not available	not available	not applicable	not applicable	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	HCM1_DDA_GC1_1_4260.d.zip	v1.1.0	manual curation
PXD063467_HCM2_Control2	HCM2_DDA_GB5_1_4349	Homo sapiens	heart	normal	HCM	not available	not available	PromoCell	not available	not available	not applicable	not applicable	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	HCM2_DDA_GB5_1_4349.d.zip	v1.1.0	manual curation
PXD063467_HCM3_Control3	HCM3_DDA_GB1_1_4248	Homo sapiens	heart	normal	HCM	not available	not available	PromoCell	not available	not available	not applicable	not applicable	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	HCM3_DDA_GB1_1_4248.d.zip	v1.1.0	manual curation
PXD063467_HCM4_Control4	HCM4_DDA_GA3_1_4336	Homo sapiens	heart	normal	HCM	not available	not available	PromoCell	not available	not available	not applicable	not applicable	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	HCM4_DDA_GA3_1_4336.d.zip	v1.1.0	manual curation
PXD063467_HCM5_Control5	HCM5_DDA_GA4_1_4243	Homo sapiens	heart	normal	HCM	not available	not available	PromoCell	not available	not available	not applicable	not applicable	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	HCM5_DDA_GA4_1_4243.d.zip	v1.1.0	manual curation
PXD063467_HCM6_Control6	HCM6_DDA_GC4_1_4263	Homo sapiens	heart	normal	HCM	not available	not available	PromoCell	not available	not available	not applicable	not applicable	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	HCM6_DDA_GC4_1_4263.d.zip	v1.1.0	manual curation
PXD063467_HCM7_Control7	HCM7_DDA_GB6_1_4350	Homo sapiens	heart	normal	HCM	not available	not available	PromoCell	not available	not available	not applicable	not applicable	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	HCM7_DDA_GB6_1_4350.d.zip	v1.1.0	manual curation
PXD063467_HCM8_Control8	HCM8_DDA_GB7_1_4258	Homo sapiens	heart	normal	HCM	not available	not available	PromoCell	not available	not available	not applicable	not applicable	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	HCM8_DDA_GB7_1_4258.d.zip	v1.1.0	manual curation
PXD063467_HCM9_Control9	HCM9_DDA_GD2_1_4352	Homo sapiens	heart	normal	HCM	not available	not available	PromoCell	not available	not available	not applicable	not applicable	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	HCM9_DDA_GD2_1_4352.d.zip	v1.1.0	manual curation
PXD063467_HCM10_Control10	HCM10_DDA_GA8_1_4341	Homo sapiens	heart	normal	HCM	not available	not available	PromoCell	not available	not available	not applicable	not applicable	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	HCM10_DDA_GA8_1_4341.d.zip	v1.1.0	manual curation
PXD063467_HCM11_Control11	HCM11_DDA_GB3_1_4344	Homo sapiens	heart	normal	HCM	not available	not available	PromoCell	not available	not available	not applicable	not applicable	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	HCM11_DDA_GB3_1_4344.d.zip	v1.1.0	manual curation
PXD063467_HCM12_Control12	HCM12_DDA_GD3_1_4353	Homo sapiens	heart	normal	HCM	not available	not available	PromoCell	not available	not available	not applicable	not applicable	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	HCM12_DDA_GD3_1_4353.d.zip	v1.1.0	manual curation
PXD063467_HCM13_Cana_low1	HCM13_DDA_GC5_1_4264	Homo sapiens	heart	normal	HCM	not available	not available	PromoCell	not available	not available	canagliflozin	100 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	HCM13_DDA_GC5_1_4264.d.zip	v1.1.0	manual curation
PXD063467_HCM14_Cana_low2	HCM14_DDA_GA6_1_4339	Homo sapiens	heart	normal	HCM	not available	not available	PromoCell	not available	not available	canagliflozin	100 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	HCM14_DDA_GA6_1_4339.d.zip	v1.1.0	manual curation
PXD063467_HCM15_Cana_low3	HCM15_DDA_GA2_1_4335	Homo sapiens	heart	normal	HCM	not available	not available	PromoCell	not available	not available	canagliflozin	100 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	HCM15_DDA_GA2_1_4335.d.zip	v1.1.0	manual curation
PXD063467_HCM16_Cana_low4	HCM16_DDA_GB1_1_4342	Homo sapiens	heart	normal	HCM	not available	not available	PromoCell	not available	not available	canagliflozin	100 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	HCM16_DDA_GB1_1_4342.d.zip	v1.1.0	manual curation
