source name	assay name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biorepository]	characteristics[age]	characteristics[sex]	characteristics[compound]	characteristics[compound]	characteristics[exposure duration]	technology type	comment[fraction identifier]	comment[technical replicate]	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]
PXD063467_11_Control11	11_AC16_DDA_GB3_1_3995	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	not applicable	not applicable	not applicable	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	11_AC16_DDA_GB3_1_3995.d.zip	v1.1.0	manual curation
PXD063467_12_Control12	12_AC16_DDA_GB4_1_3996	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	not applicable	not applicable	not applicable	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	12_AC16_DDA_GB4_1_3996.d.zip	v1.1.0	manual curation
PXD063467_13_Cana_low1	13_AC16_DDA_GB5_1_4000	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	canagliflozin	100 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	13_AC16_DDA_GB5_1_4000.d.zip	v1.1.0	manual curation
PXD063467_14_Cana_low2	14_AC16_DDA_GB6_1_4001	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	canagliflozin	100 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	14_AC16_DDA_GB6_1_4001.d.zip	v1.1.0	manual curation
PXD063467_15_Cana_low3	15_AC16_DDA_GB7_1_4002	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	canagliflozin	100 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	15_AC16_DDA_GB7_1_4002.d.zip	v1.1.0	manual curation
PXD063467_16_Cana_low4	16_AC16_DDA_GB8_1_4003	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	canagliflozin	100 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	16_AC16_DDA_GB8_1_4003.d.zip	v1.1.0	manual curation
PXD063467_17_Cana_low5	17_AC16_DDA_GC1_1_4004	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	canagliflozin	100 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	17_AC16_DDA_GC1_1_4004.d.zip	v1.1.0	manual curation
PXD063467_18_Cana_low6	18_AC16_DDA_GC2_1_4005	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	canagliflozin	100 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	18_AC16_DDA_GC2_1_4005.d.zip	v1.1.0	manual curation
PXD063467_19_Cana_high1	19_AC16_DDA_GC3_1_4006	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	canagliflozin	10 uM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	19_AC16_DDA_GC3_1_4006.d.zip	v1.1.0	manual curation
PXD063467_20_Cana_high2	20_AC16_DDA_BA1_1_4080	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	canagliflozin	10 uM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	20_AC16_DDA_BA1_1_4080.d.zip	v1.1.0	manual curation
