source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
20240522_AST5_Evo3_PS_240kMS1_4Th6ms_80SPDz_HeLa_1c_27	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	cellenONE	20240522_AST5_Evo3_PS_240kMS1_4Th6ms_80SPDz_HeLa_1c_27	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th6ms_80SPDz_HeLa_1c_27	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20240522_AST5_Evo3_PS_240kMS1_4Th6ms_80SPDz_HeLa_1c_27.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD054066/20240522_AST5_Evo3_PS_240kMS1_4Th6ms_80SPDz_HeLa_1c_27.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20240522_AST5_Evo3_PS_240kMS1_4Th6ms_80SPDz_HeLa_1c_29	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	cellenONE	20240522_AST5_Evo3_PS_240kMS1_4Th6ms_80SPDz_HeLa_1c_29	1	2	20240522_AST5_Evo3_PS_240kMS1_4Th6ms_80SPDz_HeLa_1c_29	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20240522_AST5_Evo3_PS_240kMS1_4Th6ms_80SPDz_HeLa_1c_29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD054066/20240522_AST5_Evo3_PS_240kMS1_4Th6ms_80SPDz_HeLa_1c_29.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20240623_AST5_Evo3_40SPD_PS_collab_Pislets_UU_SC_Blank_04	Homo sapiens	Cell culture	not available	Cell culture	cell	empty	cellenONE	empty	0	3	20240623_AST5_Evo3_40SPD_PS_collab_Pislets_UU_SC_Blank_04	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20240623_AST5_Evo3_40SPD_PS_collab_Pislets_UU_SC_Blank_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD054066/20240623_AST5_Evo3_40SPD_PS_collab_Pislets_UU_SC_Blank_04.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_42	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	cellenONE	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_42	1	4	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_42	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_42.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD054066/20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_42.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20240613_AST5_Evo3_ML_80SPD_DIA_hFF_Batch1_Box2_1c_2	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	cellenONE	20240613_AST5_Evo3_ML_80SPD_DIA_hFF_Batch1_Box2_1c_2	1	5	20240613_AST5_Evo3_ML_80SPD_DIA_hFF_Batch1_Box2_1c_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20240613_AST5_Evo3_ML_80SPD_DIA_hFF_Batch1_Box2_1c_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD054066/20240613_AST5_Evo3_ML_80SPD_DIA_hFF_Batch1_Box2_1c_2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_38	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	cellenONE	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_38	1	6	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_38	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_38.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD054066/20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_38.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_08	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	cellenONE	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_08	1	7	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_08	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD054066/20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_08.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20240522_AST5_Evo3_PS_240kMS1_4Th6ms_80SPDz_HeLa_1c_12	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	cellenONE	20240522_AST5_Evo3_PS_240kMS1_4Th6ms_80SPDz_HeLa_1c_12	1	8	20240522_AST5_Evo3_PS_240kMS1_4Th6ms_80SPDz_HeLa_1c_12	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20240522_AST5_Evo3_PS_240kMS1_4Th6ms_80SPDz_HeLa_1c_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD054066/20240522_AST5_Evo3_PS_240kMS1_4Th6ms_80SPDz_HeLa_1c_12.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_18	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	cellenONE	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_18	1	9	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_18	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD054066/20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_18.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20240522_AST5_Evo3_PS_240kMS1_4Th6ms_80SPDz_HeLa_1c_03	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	cellenONE	20240522_AST5_Evo3_PS_240kMS1_4Th6ms_80SPDz_HeLa_1c_03	1	10	20240522_AST5_Evo3_PS_240kMS1_4Th6ms_80SPDz_HeLa_1c_03	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20240522_AST5_Evo3_PS_240kMS1_4Th6ms_80SPDz_HeLa_1c_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD054066/20240522_AST5_Evo3_PS_240kMS1_4Th6ms_80SPDz_HeLa_1c_03.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
