source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
scDVP_raw_files_organoid_transplant	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	laser capture microdissection	scDVP_raw_files_organoid_transplant	not available	1	scDVP_raw_files_organoid_transplant	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	scDVP_raw_files_organoid_transplant.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PXD052341/scDVP_raw_files_organoid_transplant.zip	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
scDVP_raw_files_in_vivo	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	laser capture microdissection	scDVP_raw_files_in_vivo	not available	2	scDVP_raw_files_in_vivo	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	scDVP_raw_files_in_vivo.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PXD052341/scDVP_raw_files_in_vivo.zip	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
scDVP_raw_files_organoid_in_vitro	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	laser capture microdissection	scDVP_raw_files_organoid_in_vitro	not available	3	scDVP_raw_files_organoid_in_vitro	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	scDVP_raw_files_organoid_in_vitro.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PXD052341/scDVP_raw_files_organoid_in_vitro.zip	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
raw_files_dvp	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	laser capture microdissection	raw_files_dvp	not available	4	raw_files_dvp	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	raw_files_dvp.rar	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PXD052341/raw_files_dvp.rar	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
raw_files_bulk	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	bulk control	laser capture microdissection	raw_files_bulk	not applicable	5	raw_files_bulk	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	raw_files_bulk.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PXD052341/raw_files_bulk.zip	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
