source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S10	Mus musculus	not available	not available	not available	cell	single cell	FACS	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S10	1	1	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S10	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S10.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C3_S4	Mus musculus	not available	not available	not available	cell	single cell	FACS	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C3_S4	1	2	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C3_S4	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C3_S4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C3_S4.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S2	Mus musculus	not available	not available	not available	cell	single cell	FACS	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S2	1	3	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S2	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S2.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C3_S3	Mus musculus	not available	not available	not available	cell	single cell	FACS	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C3_S3	1	4	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C3_S3	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C3_S3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C3_S3.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C1_S5	Mus musculus	not available	not available	not available	cell	single cell	FACS	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C1_S5	1	5	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C1_S5	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C1_S5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C1_S5.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S7	Mus musculus	not available	not available	not available	cell	single cell	FACS	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S7	1	6	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S7	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S7.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S1	Mus musculus	not available	not available	not available	cell	single cell	FACS	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S1	1	7	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S1	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S1.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S4	Mus musculus	not available	not available	not available	cell	single cell	FACS	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S4	1	8	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S4	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C2_S4.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C3_S2	Mus musculus	not available	not available	not available	cell	single cell	FACS	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C3_S2	1	9	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C3_S2	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C3_S2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C3_S2.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C1_S7	Mus musculus	not available	not available	not available	cell	single cell	FACS	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C1_S7	1	10	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C1_S7	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C1_S7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD048347/20230920_E1_50_CVG_0553_SCP_Gastruloids_GFP_C1_S7.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
