source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
HeLa_digest_SPME_1ng_1	Homo sapiens	Hela cell	not available	not available	cell	single cell	not applicable	HeLa_digest_SPME_1ng_1	1	1	HeLa_digest_SPME_1ng_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_digest_SPME_1ng_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD047627/HeLa_digest_SPME_1ng_1.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_digest_SPME_0_5ng_1	Homo sapiens	Hela cell	not available	not available	cell	single cell	not applicable	HeLa_digest_SPME_0_5ng_1	1	2	HeLa_digest_SPME_0_5ng_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_digest_SPME_0_5ng_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD047627/HeLa_digest_SPME_0_5ng_1.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_digest_SPME_10ng_2	Homo sapiens	Hela cell	not available	not available	cell	single cell	not applicable	HeLa_digest_SPME_10ng_2	1	3	HeLa_digest_SPME_10ng_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_digest_SPME_10ng_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD047627/HeLa_digest_SPME_10ng_2.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_digest_SPME_10ng_1	Homo sapiens	Hela cell	not available	not available	cell	single cell	not applicable	HeLa_digest_SPME_10ng_1	1	4	HeLa_digest_SPME_10ng_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_digest_SPME_10ng_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD047627/HeLa_digest_SPME_10ng_1.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_digest_SPME_1ng_2	Homo sapiens	Hela cell	not available	not available	cell	single cell	not applicable	HeLa_digest_SPME_1ng_2	1	5	HeLa_digest_SPME_1ng_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_digest_SPME_1ng_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD047627/HeLa_digest_SPME_1ng_2.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_digest_SPME_0_1ng_2	Homo sapiens	Hela cell	not available	not available	cell	single cell	not applicable	HeLa_digest_SPME_0_1ng_2	1	6	HeLa_digest_SPME_0_1ng_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_digest_SPME_0_1ng_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD047627/HeLa_digest_SPME_0_1ng_2.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_digest_SPME_0_5ng_2	Homo sapiens	Hela cell	not available	not available	cell	single cell	not applicable	HeLa_digest_SPME_0_5ng_2	1	7	HeLa_digest_SPME_0_5ng_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_digest_SPME_0_5ng_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD047627/HeLa_digest_SPME_0_5ng_2.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_digest_SPME_0_1ng_1	Homo sapiens	Hela cell	not available	not available	cell	single cell	not applicable	HeLa_digest_SPME_0_1ng_1	1	8	HeLa_digest_SPME_0_1ng_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_digest_SPME_0_1ng_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD047627/HeLa_digest_SPME_0_1ng_1.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
