source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
U2OS-nuclei_rawfiles	Homo sapiens	Epithelial cell	Cutaneous malignant melanoma 1	Epithelial cell	cell	single cell	laser capture microdissection	U2OS-nuclei_rawfiles	1	1	U2OS-nuclei_rawfiles	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	U2OS-nuclei_rawfiles.rar	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD023904/U2OS-nuclei_rawfiles.rar	1	label free sample	not applicable	not applicable	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Melanoma_rawfiles	Homo sapiens	Epithelial cell	Cutaneous malignant melanoma 1	Epithelial cell	cell	single cell	laser capture microdissection	Melanoma_rawfiles	1	2	Melanoma_rawfiles	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Melanoma_rawfiles.rar	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD023904/Melanoma_rawfiles.rar	1	label free sample	not applicable	not applicable	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
FallopianTube_rawfiles	Homo sapiens	Epithelial cell	Cutaneous malignant melanoma 1	Epithelial cell	cell	single cell	laser capture microdissection	FallopianTube_rawfiles	1	3	FallopianTube_rawfiles	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	FallopianTube_rawfiles.rar	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD023904/FallopianTube_rawfiles.rar	1	label free sample	not applicable	not applicable	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
