source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
SRCC_100shape_OrbitrapAstral_raw	Homo sapiens	Lymph node	Signet ring cell adenocarcinoma	Malignant cell	cell	single cell	laser capture microdissection	SRCC_100shape_OrbitrapAstral_raw	not available	1	SRCC_100shape_OrbitrapAstral_raw	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	SRCC_100shape_OrbitrapAstral_raw.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD053079/SRCC_100shape_OrbitrapAstral_raw.zip	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
SRCC_500shapes_OrbitrapAstral_raw	Homo sapiens	Lymph node	Signet ring cell adenocarcinoma	Malignant cell	cell	single cell	laser capture microdissection	SRCC_500shapes_OrbitrapAstral_raw	not available	2	SRCC_500shapes_OrbitrapAstral_raw	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	SRCC_500shapes_OrbitrapAstral_raw.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD053079/SRCC_500shapes_OrbitrapAstral_raw.zip	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
SRCC_250shapes_OrbitrapAstral_raw	Homo sapiens	Lymph node	Signet ring cell adenocarcinoma	Malignant cell	cell	single cell	laser capture microdissection	SRCC_250shapes_OrbitrapAstral_raw	not available	3	SRCC_250shapes_OrbitrapAstral_raw	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	SRCC_250shapes_OrbitrapAstral_raw.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD053079/SRCC_250shapes_OrbitrapAstral_raw.zip	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
