source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
20221214_C30256_006_S434890_39JAK_GVBD	Homo sapiens	Follicular fluid	not available	Oocyte	cell	single cell	not applicable	20221214_C30256_006_S434890_39JAK_GVBD	1	1	20221214_C30256_006_S434890_39JAK_GVBD	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20221214_C30256_006_S434890_39JAK_GVBD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD073018/20221214_C30256_006_S434890_39JAK_GVBD.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20221214_C30256_003_S434883_170ANM_MII	Homo sapiens	Follicular fluid	not available	Oocyte	cell	single cell	not applicable	20221214_C30256_003_S434883_170ANM_MII	1	2	20221214_C30256_003_S434883_170ANM_MII	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20221214_C30256_003_S434883_170ANM_MII.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD073018/20221214_C30256_003_S434883_170ANM_MII.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20221214_C30256_015_S434882_111LES_MII	Homo sapiens	Follicular fluid	not available	Oocyte	cell	single cell	not applicable	20221214_C30256_015_S434882_111LES_MII	1	3	20221214_C30256_015_S434882_111LES_MII	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20221214_C30256_015_S434882_111LES_MII.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD073018/20221214_C30256_015_S434882_111LES_MII.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20221214_C30256_023_S434891_227STC_GVBD	Homo sapiens	Follicular fluid	not available	Oocyte	cell	single cell	not applicable	20221214_C30256_023_S434891_227STC_GVBD	1	4	20221214_C30256_023_S434891_227STC_GVBD	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20221214_C30256_023_S434891_227STC_GVBD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD073018/20221214_C30256_023_S434891_227STC_GVBD.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20221214_C30256_022_S434897_238MAK_GV	Homo sapiens	Follicular fluid	not available	Oocyte	cell	single cell	not applicable	20221214_C30256_022_S434897_238MAK_GV	1	5	20221214_C30256_022_S434897_238MAK_GV	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20221214_C30256_022_S434897_238MAK_GV.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD073018/20221214_C30256_022_S434897_238MAK_GV.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20221214_C30256_010_S434887_119LEL_MII	Homo sapiens	Follicular fluid	not available	Oocyte	cell	single cell	not applicable	20221214_C30256_010_S434887_119LEL_MII	1	6	20221214_C30256_010_S434887_119LEL_MII	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20221214_C30256_010_S434887_119LEL_MII.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD073018/20221214_C30256_010_S434887_119LEL_MII.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20221214_C30256_005_S434888_296CLA_MII	Homo sapiens	Follicular fluid	not available	Oocyte	cell	single cell	not applicable	20221214_C30256_005_S434888_296CLA_MII	1	7	20221214_C30256_005_S434888_296CLA_MII	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20221214_C30256_005_S434888_296CLA_MII.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD073018/20221214_C30256_005_S434888_296CLA_MII.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20221214_C30256_013_S434899_289NEV_GV	Homo sapiens	Follicular fluid	not available	Oocyte	cell	single cell	not applicable	20221214_C30256_013_S434899_289NEV_GV	1	8	20221214_C30256_013_S434899_289NEV_GV	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20221214_C30256_013_S434899_289NEV_GV.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD073018/20221214_C30256_013_S434899_289NEV_GV.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20221214_C30256_020_S434889_64MEB_MII	Homo sapiens	Follicular fluid	not available	Oocyte	cell	single cell	not applicable	20221214_C30256_020_S434889_64MEB_MII	1	9	20221214_C30256_020_S434889_64MEB_MII	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20221214_C30256_020_S434889_64MEB_MII.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD073018/20221214_C30256_020_S434889_64MEB_MII.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20221214_C30256_024_S434898_268PRG_GV	Homo sapiens	Follicular fluid	not available	Oocyte	cell	single cell	not applicable	20221214_C30256_024_S434898_268PRG_GV	1	10	20221214_C30256_024_S434898_268PRG_GV	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20221214_C30256_024_S434898_268PRG_GV.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD073018/20221214_C30256_024_S434898_268PRG_GV.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20221214_C30256_012_S434880_220CHR_MII	Homo sapiens	Follicular fluid	not available	Oocyte	cell	single cell	not applicable	20221214_C30256_012_S434880_220CHR_MII	1	11	20221214_C30256_012_S434880_220CHR_MII	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20221214_C30256_012_S434880_220CHR_MII.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD073018/20221214_C30256_012_S434880_220CHR_MII.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20221214_C30256_019_S434884_116HEM_MII	Homo sapiens	Follicular fluid	not available	Oocyte	cell	single cell	not applicable	20221214_C30256_019_S434884_116HEM_MII	1	12	20221214_C30256_019_S434884_116HEM_MII	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20221214_C30256_019_S434884_116HEM_MII.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD073018/20221214_C30256_019_S434884_116HEM_MII.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
