source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
Exp_Saet_4_NoCarrier_C9	Homo sapiens	Myocardium	Type 2 diabetes mellitus	Myocardium	cell	carrier	not applicable	carrier	not available	1	Exp_Saet_4_NoCarrier_C9	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Exp_Saet_4_NoCarrier_C9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD053450/Exp_Saet_4_NoCarrier_C9.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Exp_Saet_3_WithCarrier_B4	Homo sapiens	Myocardium	Type 2 diabetes mellitus	Myocardium	cell	carrier	not applicable	carrier	not available	2	Exp_Saet_3_WithCarrier_B4	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Exp_Saet_3_WithCarrier_B4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD053450/Exp_Saet_3_WithCarrier_B4.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Exp_Saet_3_NoCarrier_B4	Homo sapiens	Myocardium	Type 2 diabetes mellitus	Myocardium	cell	carrier	not applicable	carrier	not available	3	Exp_Saet_3_NoCarrier_B4	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Exp_Saet_3_NoCarrier_B4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD053450/Exp_Saet_3_NoCarrier_B4.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Exp_Saet_7_WithCarrier_F6	Homo sapiens	Myocardium	Type 2 diabetes mellitus	Myocardium	cell	carrier	not applicable	carrier	not available	4	Exp_Saet_7_WithCarrier_F6	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Exp_Saet_7_WithCarrier_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD053450/Exp_Saet_7_WithCarrier_F6.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Exp_Saet_7_NoCarrier_F10	Homo sapiens	Myocardium	Type 2 diabetes mellitus	Myocardium	cell	carrier	not applicable	carrier	not available	5	Exp_Saet_7_NoCarrier_F10	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Exp_Saet_7_NoCarrier_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD053450/Exp_Saet_7_NoCarrier_F10.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Per_Myo_05_35_3	Homo sapiens	Myocardium	Type 2 diabetes mellitus	Myocardium	cell	single cell	not applicable	Per_Myo_05_35_3	1	6	Per_Myo_05_35_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Per_Myo_05_35_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD053450/Per_Myo_05_35_3.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Exp_Saet_1_NoCarrier_D8	Homo sapiens	Myocardium	Type 2 diabetes mellitus	Myocardium	cell	carrier	not applicable	carrier	not available	7	Exp_Saet_1_NoCarrier_D8	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Exp_Saet_1_NoCarrier_D8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD053450/Exp_Saet_1_NoCarrier_D8.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Exp_Saet_4_WithCarrier_C7	Homo sapiens	Myocardium	Type 2 diabetes mellitus	Myocardium	cell	carrier	not applicable	carrier	not available	8	Exp_Saet_4_WithCarrier_C7	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Exp_Saet_4_WithCarrier_C7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD053450/Exp_Saet_4_WithCarrier_C7.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Exp_Saet_6_WithCarrier_E9	Homo sapiens	Myocardium	Type 2 diabetes mellitus	Myocardium	cell	carrier	not applicable	carrier	not available	9	Exp_Saet_6_WithCarrier_E9	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Exp_Saet_6_WithCarrier_E9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD053450/Exp_Saet_6_WithCarrier_E9.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Exp_Saet_5_WithCarrier_D9	Homo sapiens	Myocardium	Type 2 diabetes mellitus	Myocardium	cell	carrier	not applicable	carrier	not available	10	Exp_Saet_5_WithCarrier_D9	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Exp_Saet_5_WithCarrier_D9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD053450/Exp_Saet_5_WithCarrier_D9.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Exp_Saet_3_WithCarrier_B10	Homo sapiens	Myocardium	Type 2 diabetes mellitus	Myocardium	cell	carrier	not applicable	carrier	not available	11	Exp_Saet_3_WithCarrier_B10	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Exp_Saet_3_WithCarrier_B10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD053450/Exp_Saet_3_WithCarrier_B10.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Exp_Saet_1_NoCarrier_D7	Homo sapiens	Myocardium	Type 2 diabetes mellitus	Myocardium	cell	carrier	not applicable	carrier	not available	12	Exp_Saet_1_NoCarrier_D7	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Exp_Saet_1_NoCarrier_D7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD053450/Exp_Saet_1_NoCarrier_D7.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Exp_Saet_3_NoCarrier_B8	Homo sapiens	Myocardium	Type 2 diabetes mellitus	Myocardium	cell	carrier	not applicable	carrier	not available	13	Exp_Saet_3_NoCarrier_B8	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Exp_Saet_3_NoCarrier_B8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD053450/Exp_Saet_3_NoCarrier_B8.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Per_Myo_3_1_1	Homo sapiens	Myocardium	Type 2 diabetes mellitus	Myocardium	cell	single cell	not applicable	Per_Myo_3_1_1	1	14	Per_Myo_3_1_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Per_Myo_3_1_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD053450/Per_Myo_3_1_1.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
